,CA_1,CA_2,CA_3,CA_4,TX_1,TX_2,TX_3,WI_1,WI_2,WI_3
2016-04-23,5577,5884,7419,2954,3700,4483,4083,4772,5404,4686
2016-04-24,6113,6082,7721,3271,4033,4292,3957,4874,5127,4325
2016-04-25,4472,3926,6359,2767,3076,3883,3703,3166,4178,3263
2016-04-26,3703,3525,5289,2495,2853,3502,3578,3194,4148,3200
2016-04-27,3715,3527,5065,2529,2984,3256,3335,3267,3805,2962
2016-04-28,3618,3754,5015,2277,2664,3441,3550,3201,4342,2870
2016-04-29,4573,4382,5705,2520,3687,4023,4452,4143,5719,3692
2016-04-30,5898,6349,7057,3023,4052,4508,4134,5318,5485,4605
2016-05-01,6397,6193,7828,3271,4412,4872,4909,5228,5348,4574
2016-05-02,4794,4434,6776,3113,2859,3831,4029,3502,5597,4246
2016-05-03,4594,3977,6325,2934,3217,4088,4644,3456,6567,4512
2016-05-04,4234,4243,6204,2585,2839,3612,3458,3444,5175,3807
2016-05-05,3918,4020,5793,2466,3170,3708,3955,3730,5945,4058
2016-05-06,4804,4492,5842,2500,3428,4290,4055,4142,6103,4149
2016-05-07,6069,6636,7346,3068,4123,4619,4926,5432,6385,5635
2016-05-08,5212,5330,6743,2675,3196,4035,4154,4059,5802,4403
2016-05-09,4859,3999,6958,3100,3437,4172,4426,3895,7080,4474
2016-05-10,4104,4092,5960,2815,3020,3696,3864,3227,5079,3522
2016-05-11,3982,3722,5884,2603,3398,3899,4017,3948,6807,3988
2016-05-12,4049,3751,5039,2659,3351,4019,4121,3682,5843,3989
2016-05-13,4951,4839,6046,2635,3610,4415,4295,3978,5317,3987
2016-05-14,6245,6507,7029,3256,3787,4424,4155,5527,7704,5674
2016-05-15,6707,6710,7969,3318,5000,5866,5383,5488,7586,5894
2016-05-16,4568,4238,5891,3024,3708,4179,4341,3505,5011,3897
2016-05-17,3949,3963,5523,2715,3310,4008,4052,3323,4628,3306
2016-05-18,3995,3789,5375,2519,3147,3518,3710,3242,4533,3268
2016-05-19,4136,4037,5580,2544,2748,3126,3288,3478,4628,3398
2016-05-20,4433,4751,5542,2704,3664,4249,4390,3813,4880,4126
2016-05-21,5764,7120,7073,3146,4167,4802,4712,5002,5213,4519
2016-05-22,6289,6614,8144,3597,4624,5217,4974,5054,5068,4757
